2	1	100
3	1	54
3	2	78
4	1	73
4	2	27
4	3	30
5	1	31
5	2	4
5	3	1
5	4	67
6	1	67
6	2	4
6	3	2
6	4	1
7	1	31
7	2	3
7	4	1
7	6	66
8	1	3
8	4	5
9	1	5
9	3	2
9	4	5
9	6	5
9	8	52
10	1	40
10	2	6
10	3	8
10	4	3
10	5	2
10	6	22
10	7	14
11	1	8
11	2	1
11	4	3
11	6	4
11	8	3
11	9	3
11	10	1
12	1	7
12	2	1
12	4	1
12	6	5
12	9	1
12	10	2
12	11	34
13	1	19
13	2	4
13	3	3
13	4	2
13	6	6
13	7	1
13	8	1
13	9	1
13	10	13
13	11	25
13	12	34
14	1	33
14	2	12
14	3	2
14	4	3
14	10	3
14	12	1
15	1	9
15	2	32
15	3	17
15	4	1
15	6	1
15	8	1
15	10	3
15	11	1
16	1	16
16	2	1
16	3	2
16	4	4
16	6	25
16	7	16
16	10	28
16	13	2
17	1	27
17	2	4
17	4	24
17	5	25
17	10	3
17	11	1
17	12	2
17	16	1
18	1	26
18	2	5
18	3	1
18	4	3
18	5	1
18	6	4
18	7	7
18	8	8
18	9	9
18	10	2
18	11	2
18	12	1
18	13	3
18	14	19
19	1	21
19	2	26
19	3	14
19	4	3
19	5	9
19	7	2
19	10	1
19	13	3
19	17	1
20	1	7
20	4	17
20	5	25
20	17	5
20	18	1
20	19	3
21	1	25
21	2	6
21	3	1
21	6	13
21	7	1
21	10	1
21	11	1
22	1	22
22	2	7
22	3	18
22	4	23
22	6	1
22	10	9
22	14	7
22	16	4
22	17	1
22	18	1
22	19	3
22	20	1
23	1	21
23	2	14
23	3	5
23	5	1
23	10	1
23	13	2
23	14	3
23	15	1
23	17	1
23	18	2
24	1	21
24	2	4
24	3	4
24	4	5
24	5	3
24	6	10
24	9	3
24	10	2
24	17	1
24	19	3
24	21	4
25	1	9
25	2	3
25	3	4
25	4	21
25	5	2
25	10	1
25	16	1
25	19	1
25	22	3
27	1	17
27	2	20
27	3	6
27	4	1
27	7	1
27	10	2
27	13	1
27	14	2
27	17	2
27	19	8
27	21	1
27	23	1
27	24	2
27	25	1
28	1	7
28	2	2
28	4	20
28	5	12
28	19	2
28	20	1
28	24	1
28	25	10
29	1	14
29	2	12
29	3	7
29	4	2
29	5	1
29	6	5
29	10	2
29	15	1
29	17	1
29	18	3
29	19	4
29	20	1
29	21	2
29	24	4
29	27	20
29	28	1
30	1	10
30	4	2
30	10	2
30	14	19
30	18	12
30	22	5
31	1	16
31	4	2
31	6	14
31	7	19
31	13	1
31	18	1
31	19	1
31	21	2
31	24	3
31	27	1
31	29	2
32	1	15
32	2	18
32	3	7
32	4	5
32	22	1
32	23	2
32	27	1
34	1	12
34	2	4
34	3	1
34	4	2
34	6	4
34	8	2
34	9	4
34	10	18
34	11	1
34	12	1
34	13	13
34	16	13
34	19	8
34	20	1
34	21	2
34	24	2
34	27	8
34	29	13
35	1	13
35	2	3
35	4	1
35	5	1
35	6	3
35	10	1
35	17	1
35	19	2
35	23	1
35	24	4
35	27	6
35	28	1
35	29	18
35	31	2
35	34	2
36	1	2
36	2	17
36	3	6
36	10	1
36	15	15
37	1	17
37	2	5
37	3	2
37	4	1
37	5	1
37	6	7
37	10	1
37	13	1
37	15	1
37	17	4
37	22	1
37	24	6
37	31	1
37	32	2
37	35	1
37	36	1
38	1	17
38	2	3
38	3	6
38	4	11
38	5	1
38	10	3
38	17	7
38	19	1
38	22	1
38	24	2
38	25	5
38	27	2
38	32	1
38	35	5
38	37	13
39	1	7
39	2	1
39	4	5
39	6	6
39	13	1
39	19	1
39	24	4
39	29	9
39	31	3
39	34	2
39	35	6
40	1	14
40	2	4
40	6	6
40	10	2
40	13	2
40	24	5
40	27	1
40	29	11
40	31	4
40	34	2
40	35	5
40	39	17
41	1	12
41	2	17
41	4	4
41	14	1
41	17	1
41	19	4
41	22	1
41	23	1
41	27	1
41	32	4
42	1	11
42	2	9
42	3	6
42	4	16
42	5	3
42	6	1
42	7	1
42	10	1
42	11	3
42	12	1
42	13	1
42	19	1
42	21	2
42	25	3
42	27	1
42	28	6
43	1	12
43	2	16
43	3	4
43	4	1
43	14	3
43	23	1
43	27	3
46	1	8
46	2	15
46	3	16
46	4	4
46	14	1
46	15	1
46	23	2
46	27	2
46	29	4
48	1	16
48	2	12
48	3	2
48	15	1
48	23	5
48	30	1
48	32	6
48	35	1
48	36	1
48	37	1
48	41	2
48	46	1
